"trknum","trackID","Primary","From","To","Type","Ownership","Time","Latitude","Longitude","Distance","Elevation"
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:01",43.3020251886753,-91.8096044168909,0,886.0072191945
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:02",43.3020232367017,-91.8095883236368,0.000822506783848056,885.8398963596
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:03",43.302006644923,-91.8095722303828,0.00222616948544063,885.4954081701
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:04",43.3019949024125,-91.8095675115247,0.00307098719481662,887.7887152602
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:05",43.3019743136904,-91.8095415224494,0.00500413684083292,889.2782165748
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:06",43.3019557721831,-91.8095030221838,0.00732928031052328,888.6122060751
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:07",43.3019357859402,-91.8094931344372,0.00879629955327267,889.3832034516
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:08",43.3019087561093,-91.8094974679982,0.010675007663874,889.4652244491
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:09",43.3018781138407,-91.8095077998997,0.0128535419605593,893.143045977
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:10",43.3018506660918,-91.8095059112866,0.0147507430792605,894.652232331
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:11",43.3018258522945,-91.8094897995994,0.0166465730881154,896.8110249852
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:12",43.3017994276335,-91.8094833107534,0.0184998606944214,899.2224423117
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:13",43.3017685632166,-91.8094732738793,0.0206898040574757,900.8497389021
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:14",43.3017523829864,-91.8094547072889,0.0221471699267191,902.6706050466
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:15",43.3017301050621,-91.8094340636697,0.0240041844187869,902.1522323424
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:16",43.3017112819522,-91.8094128021762,0.025688709029917,903.4383215832
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:17",43.301692197847,-91.8093919476119,0.0273742970517958,901.9389777489
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:18",43.3016701974025,-91.8093502895486,0.0299662200900997,901.4993452023
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:19",43.3016519201841,-91.8093187924973,0.0319944799287233,901.1187677739
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:20",43.3016351685697,-91.8092833256908,0.0341240135178403,903.6220486176
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:21",43.3016118156721,-91.8092494323949,0.0364732969245904,902.3720486157
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:22",43.3015865696861,-91.8092174655714,0.0388471234286616,901.3681116063
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:23",43.3015690713405,-91.8091795893246,0.041106773982599,901.2237546507
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:24",43.3015519374968,-91.8091508102764,0.0429787868961669,902.4311037339
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:25",43.3015273109791,-91.8091273952812,0.0450485396970106,901.3385840472
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:26",43.3015088349247,-91.8091055879889,0.0467324921933118,904.0059068859
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:27",43.3014832304246,-91.8090683984269,0.0493093294853481,904.7014449447
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:28",43.3014616878777,-91.809046655128,0.0511568771745366,904.5045945507
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:29",43.3014386273041,-91.8090191231056,0.0532690331170259,905.5511824788
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:30",43.3014196152658,-91.8089721756151,0.0559755822637997,905.1804475701
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:31",43.3013941516744,-91.8089374421193,0.05845686419717,903.1725735513
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:32",43.3013793111491,-91.8089086915674,0.0602319212621123,902.9166680391
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:33",43.301374060899,-91.8088844963703,0.061504517602152,904.0255919253
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:34",43.3013497306701,-91.8088474706723,0.0640156834972761,903.7565630535
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:35",43.3013352162289,-91.8088229510617,0.0656069966002903,905.2919961267
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:36",43.3013226090565,-91.8087997852549,0.0670635868620014,903.2316286695
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:37",43.301309947369,-91.8087648672554,0.0690291554866834,902.8740171204
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:38",43.3012954347365,-91.808724902718,0.0712794444489746,900.6299226288
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:39",43.3012814821733,-91.80870855908,0.0725470248773505,901.8471142317
1,"PLPT01","Pulpit Rock Tr","Parking area",NA,"Trail","Public","2023-01-20 00:00:40",43.3012648901922,-91.8086871014078,0.0741225840334828,900.7906837839
1,"PLPT02","Pulpit Rock Tr",NA,NA,"Trail","Public","2023-01-20 00:00:01",43.3012664373313,-91.8086846528874,0,869.3011824237
1,"PLPT02","Pulpit Rock Tr",NA,NA,"Trail","Public","2023-01-20 00:00:02",43.3012535764021,-91.8086611670953,0.0014800014861674,882.6509199768
1,"PLPT02","Pulpit Rock Tr",NA,NA,"Trail","Public","2023-01-20 00:00:03",43.3012393497035,-91.8086294852638,0.0033551334993412,894.4521010971
1,"PLPT02","Pulpit Rock Tr",NA,NA,"Trail","Public","2023-01-20 00:00:04",43.3012390680477,-91.8086036679664,0.00465695816576047,896.32546068
1,"PLPT02","Pulpit Rock Tr",NA,NA,"Trail","Public","2023-01-20 00:00:05",43.3012336105679,-91.8085762460254,0.00608995406986567,899.5603688214
1,"PLPT02","Pulpit Rock Tr",NA,NA,"Trail","Public","2023-01-20 00:00:06",43.3012249480166,-91.8085524507873,0.00743046184399755,897.6017074011
1,"PLPT02","Pulpit Rock Tr",NA,NA,"Trail","Public","2023-01-20 00:00:07",43.301204503242,-91.8085258715642,0.00937669517981416,898.9862218389
1,"PLPT02","Pulpit Rock Tr",NA,NA,"Trail","Public","2023-01-20 00:00:08",43.3011854943635,-91.8085275145975,0.0106915537527017,896.0236234092
